,Open_BTC-USD,High_BTC-USD,Low_BTC-USD,Close_BTC-USD,Adj Close_BTC-USD,Volume_BTC-USD,Open_^GSPC,High_^GSPC,Low_^GSPC,Close_^GSPC,Adj Close_^GSPC,Volume_^GSPC,Open_^IXIC,High_^IXIC,Low_^IXIC,Close_^IXIC,Adj Close_^IXIC,Volume_^IXIC,Open_^VIX,High_^VIX,Low_^VIX,Close_^VIX,Adj Close_^VIX,Volume_^VIX,Bond Yields,Inflation,Unemployment,Interest Rate,Consumer Sentiment,GDP,market crash,recession,buy gold,stock market crash
2000-01-03,,,,,,,1469.25,1478.0,1438.3599853515625,1455.219970703125,1455.219970703125,931800000.0,4186.18994140625,4192.18994140625,3989.7099609375,4131.14990234375,4131.14990234375,1510070000.0,24.36000061035156,26.149999618530273,23.979999542236328,24.209999084472656,24.209999084472656,0.0,6.58,,,,,,,,,
2000-01-04,,,,,,,1455.219970703125,1455.219970703125,1397.4300537109375,1399.4200439453125,1399.4200439453125,1009000000.0,4020.0,4073.25,3898.22998046875,3901.68994140625,3901.68994140625,1511840000.0,24.940000534057617,27.18000030517578,24.799999237060547,27.010000228881836,27.010000228881836,0.0,6.49,,,,,,,,,
2000-01-05,,,,,,,1399.4200439453125,1413.27001953125,1377.6800537109375,1402.1099853515625,1402.1099853515625,1085500000.0,3854.35009765625,3924.2099609375,3734.8701171875,3877.5400390625,3877.5400390625,1735670000.0,27.979999542236328,29.0,25.850000381469727,26.40999984741211,26.40999984741211,0.0,6.62,,,,,,,,,
2000-01-06,,,,,,,1402.1099853515625,1411.9000244140625,1392.0999755859375,1403.449951171875,1403.449951171875,1092300000.0,3834.43994140625,3868.760009765625,3715.6201171875,3727.1298828125,3727.1298828125,1598320000.0,26.68000030517578,26.709999084472656,24.700000762939453,25.729999542236328,25.729999542236328,0.0,6.57,,,,,,,,,
2000-01-07,,,,,,,1403.449951171875,1441.469970703125,1400.72998046875,1441.469970703125,1441.469970703125,1225200000.0,3711.090087890625,3882.669921875,3711.090087890625,3882.6201171875,3882.6201171875,1634930000.0,25.13999938964844,25.170000076293945,21.719999313354492,21.719999313354492,21.719999313354492,0.0,6.52,,,,,,,,,
2000-01-10,,,,,,,1441.469970703125,1464.3599853515625,1441.469970703125,1457.5999755859375,1457.5999755859375,1064800000.0,4002.22998046875,4072.360107421875,3958.830078125,4049.669921875,4049.669921875,1691710000.0,21.88999938964844,22.489999771118164,21.36000061035156,21.709999084472656,21.709999084472656,0.0,6.57,,,,,,,,,
2000-01-11,,,,,,,1457.5999755859375,1458.6600341796875,1434.4200439453125,1438.56005859375,1438.56005859375,1014000000.0,4031.3798828125,4066.659912109375,3904.820068359375,3921.18994140625,3921.18994140625,1694460000.0,21.979999542236328,22.6299991607666,21.690000534057617,22.5,22.5,0.0,6.67,,,,,,,,,
2000-01-12,,,,,,,1438.56005859375,1442.5999755859375,1427.0799560546875,1432.25,1432.25,974600000.0,3950.949951171875,3950.97998046875,3834.530029296875,3850.02001953125,3850.02001953125,1525900000.0,23.049999237060547,23.489999771118164,22.40999984741211,22.84000015258789,22.84000015258789,0.0,6.72,,,,,,,,,
2000-01-13,,,,,,,1432.25,1454.199951171875,1432.25,1449.6800537109375,1449.6800537109375,1030400000.0,3915.139892578125,3957.469970703125,3858.219970703125,3957.2099609375,3957.2099609375,1476970000.0,22.729999542236328,23.100000381469727,21.31999969482422,21.709999084472656,21.709999084472656,0.0,6.63,,,,,,,,,
2000-01-14,,,,,,,1449.6800537109375,1473.0,1449.6800537109375,1465.1500244140625,1465.1500244140625,1085900000.0,4045.719970703125,4091.949951171875,4045.719970703125,4064.27001953125,4064.27001953125,1656630000.0,19.829999923706055,20.149999618530273,19.510000228881836,19.65999984741211,19.65999984741211,0.0,6.69,,,,,,,,,
