Generation,Dataset,Baseline PR AUC,Label,PR AUC,Beats Baseline?,Lineage,Status
2,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L100_C10 + Cluster Centroids_G2,0.191,✅ Yes,child of Elastic_L100_C10 + Cluster Centroids_G1,✅ Survived
2,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L100_C10 + Cluster Centroids_G2,0.191,✅ Yes,child of Elastic_L100_C10 + Cluster Centroids_G0,✅ Survived
2,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L100_C10 + Cluster Centroids_G2,0.19,✅ Yes,child of Elastic_L100_C10 + Cluster Centroids_G1,❌ Eliminated
2,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L100_C10 + Cluster Centroids_G2,0.19,✅ Yes,child of Elastic_L100_C10 + Cluster Centroids_G0,✅ Survived
2,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L100_C10 + Cluster Centroids_G2,0.19,✅ Yes,child of Elastic_L100_C10 + Cluster Centroids_G0,❌ Eliminated
2,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L100_C10 + Cluster Centroids_G2,0.19,✅ Yes,child of Elastic_L100_C10 + Cluster Centroids_G0,❌ Eliminated
