Generation,Dataset,Baseline PR AUC,Label,PR AUC,Beats Baseline?,Lineage,Status
1,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L30_C1 + Cluster Centroids_G1,0.189,✅ Yes,child of Elastic_L30_C1 + Cluster Centroids_G0,✅ Survived
1,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L50_C5 + Cluster Centroids_G1,0.189,✅ Yes,child of Elastic_L50_C5 + Cluster Centroids_G0,✅ Survived
1,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L30_C1 + Cluster Centroids_G1,0.188,✅ Yes,child of Elastic_L30_C1 + Cluster Centroids_G0,❌ Eliminated
1,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L30_C1 + Cluster Centroids_G1,0.188,✅ Yes,child of Elastic_L30_C1 + Cluster Centroids_G0,❌ Eliminated
1,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L30_C1 + Cluster Centroids_G1,0.188,✅ Yes,child of Elastic_L30_C1 + Cluster Centroids_G0,❌ Eliminated
1,mixed_realistic_w4_n15_d30.csv,0.045,Elastic_L50_C5 + Cluster Centroids_G1,0.188,✅ Yes,child of Elastic_L50_C5 + Cluster Centroids_G0,❌ Eliminated
